Category,Endpoint,Full URL,Method,Usable,Auth Required,Parameters,Purpose / Notes
Socials,removeGJFriend20.php,https://www.boomlings.com/database/removeGJFriend20.php,POST,Yes,Yes,"accountID, gjp2, targetAccountID, secret","Removes a user from your friends list."
Socials,blockGJUser20.php,https://www.boomlings.com/database/blockGJUser20.php,POST,Yes,Yes,"accountID, gjp2, targetAccountID, secret","Blocks a user so they cannot message or friend request you."
Socials,unblockGJUser20.php,https://www.boomlings.com/database/unblockGJUser20.php,POST,Yes,Yes,"accountID, gjp2, targetAccountID, secret","Unblocks a previously blocked user."
Socials,getGJUserList20.php,https://www.boomlings.com/database/getGJUserList20.php,POST,Yes,Yes,"accountID, gjp2, type (0=friends, 1=blocked), secret","Returns your full friends list or blocked users list."
Songs,getGJSongInfo.php,https://www.boomlings.com/database/getGJSongInfo.php,POST,Yes,No,"songID, secret","Returns metadata and download URL for a Newgrounds song by ID."
Songs,getCustomContentURL.php,https://www.boomlings.com/database/getCustomContentURL.php,POST,Yes,No,"secret","Returns the base CDN URL used to fetch custom song/SFX content."
Songs,getGJTopArtists.php,https://www.boomlings.com/database/getGJTopArtists.php,POST,Yes,No,"page, secret","Returns the top featured Newgrounds artists in GD."
Songs,testSong.php,https://www.boomlings.com/database/testSong.php,POST,Yes,No,"songID, secret","Checks whether a Newgrounds song is available/usable in GD levels."
Songs,musiclibrary.dat,https://www.boomlings.com/database/musiclibrary_02.dat,GET,Yes,No,"(none — direct GET request)","Downloads the full GD 2.2 music library index (zlib compressed, then b64). Contains all official/licensed track metadata."
Songs,sfxlibrary.dat,https://www.boomlings.com/database/sfxlibrary.dat,GET,Yes,No,"(none — direct GET request)","Downloads the full SFX library index. Same format as musiclibrary.dat."
Rewards,getGJRewards.php,https://www.boomlings.com/database/getGJRewards.php,POST,Yes,Yes,"accountID, gjp2, udid, uuid, rs, chk, secret","Fetches small/large chest reward info and timers. CHK is HMAC-based — complex to generate without client."
Rewards,getGJChallenges.php,https://www.boomlings.com/database/getGJChallenges.php,POST,Yes,Yes,"accountID, gjp2, udid, uuid, chk, secret","Returns the current three daily quest/challenge objectives."
Rewards,getGJSecretReward.php,https://www.boomlings.com/database/getGJSecretReward.php,POST,Yes (limited),Yes,"accountID, gjp2, rewardKey, secret","Redeems a secret reward code. Rarely used outside the game client."
Misc,likeGJItem211.php,https://www.boomlings.com/database/likeGJItem211.php,POST,Yes,Yes,"accountID, gjp2, itemID, type (1=level/2=comment/3=profile comment), like (1/0), chk, secret","Likes or dislikes a level, level comment, or profile comment."
Misc,getAccountURL.php,https://www.boomlings.com/database/getAccountURL.php,POST,Yes,No,"secret, type (1=backup, 2=sync)","Returns the URL for backup/sync operations (robtopgames.org). Used before calling backupGJAccountNew or syncGJAccountNew."
Misc,getSaveData.php,https://www.boomlings.com/database/getSaveData.php,POST,Limited,Yes,"accountID, gjp2, secret","Legacy save data retrieval. Mostly superseded by syncGJAccountNew."
Misc,getTop1000.php,https://www.boomlings.com/database/getTop1000.php,POST,Yes,No,"secret","Returns the top 1000 global leaderboard players (stars)."
Misc,requestUserAccess.php,https://www.boomlings.com/database/requestUserAccess.php,POST,No (server-side check),Yes,"accountID, gjp2, secret","Requests moderator/elder mod access. Server validates eligibility — cannot be triggered externally with useful effect."
Misc,restoreGJItems.php,https://www.boomlings.com/database/restoreGJItems.php,POST,Limited,Yes,"accountID, gjp2, chk, secret","Restores purchased items (icons, etc.) after account recovery. Requires valid CHK."
Misc (Web LB),top-stars.json,https://www.robtopgames.com/leaderboards/top-stars.json,GET,Yes,No,"(none)","JSON leaderboard of top star-count players. Updated periodically."
Misc (Web LB),top-moons.json,https://www.robtopgames.com/leaderboards/top-moons.json,GET,Yes,No,"(none)","JSON leaderboard of top moon-count players (GD 2.2)."
Misc (Web LB),top-usercoins.json,https://www.robtopgames.com/leaderboards/top-usercoins.json,GET,Yes,No,"(none)","JSON leaderboard of top user coin collectors."
Misc (Web LB),top-demons.json,https://www.robtopgames.com/leaderboards/top-demons.json,GET,Yes,No,"(none)","JSON leaderboard of players with the most demon completions."
Misc (Web LB),top-creators.json,https://www.robtopgames.com/leaderboards/top-creators.json,GET,Yes,No,"(none)","JSON leaderboard of top creator points holders."
Misc (Web LB),icon-extras.json,https://www.robtopgames.com/leaderboards/icon-extras.json,GET,Yes,No,"(none)","JSON data for extended icon/cosmetic info used in the web leaderboard display."
Multiplayer,joinMPLobby.php,https://www.boomlings.com/database/joinMPLobby.php,POST,Limited,Yes,"accountID, gjp2, secret","Joins a multiplayer lobby session (GD 2.2 Platformer co-op). Server-managed; limited third-party use."
Multiplayer,exitMPLobby.php,https://www.boomlings.com/database/exitMPLobby.php,POST,Limited,Yes,"accountID, gjp2, secret","Exits the current multiplayer lobby."
Multiplayer,uploadMPComment.php,https://www.boomlings.com/database/uploadMPComment.php,POST,Limited,Yes,"accountID, gjp2, levelID, comment (b64), secret","Uploads a comment during a multiplayer session."
